Id,Brand_Name,Generic_Name,Is_Opioid
1237,Multivitamins W-Fluoride-Iron,Multivits With Iron & Fluoride,
1238,Hematogen,Fe Fumarate/Vit C/B12/Stomc,
1239,Prefera-Ob One,Pnv #19/Iron Ps&heme/Folic/Dha,
1240,Hycet,Hydrocodone/Acetaminophen,true
1241,Bevyxxa,Betrixaban Maleate,
1242,Zaltrap,Ziv-Aflibercept,
1243,Bivigam,"Immune Globulin,gamma(Igg)",
1244,Cedax,Ceftibuten,
1245,Prodigy Insulin Syringe,"Syring W-Ndl,disp,insul,0.3ml",
1246,Relagesic,Acetaminophen/Phenyltolx Cit,
1247,Rybix Odt,Tramadol Hcl,true
1248,Ultilet Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
1249,Zynlonta,Loncastuximab Tesirine-Lpyl,
1250,Imlygic,Talimogene Laherparepvec,
1251,Bylvay,Odevixibat,
1252,Comfort Ez,"Syring W-Ndl,disp,insul,0.3ml",
1253,Rhinoflex-650,Acetaminophen/Phenyltolx Cit,
1254,Quzyttir,Cetirizine Hcl,
1255,Introvale,Levonorgestrel/Ethin.Estradiol,
1256,Zatean-Pn Plus,Mv-Mins 71/Iron/Folic No.1/Dha,
1257,Rybrevant,Amivantamab-Vmjw,
1258,Verdeso,Desonide,
1259,O-Cal Fa,Prenatal Vit/Iron Fum/Folic Ac,
1260,Padcev,Enfortumab Vedotin-Ejfv,
1261,Virt-Advance,Prenatal Vits15/Iron/Folic/Dss,
1262,Ferraplus 90,Iron/Fa/B12/C/Docusate Sodium,
1263,Gesticare Dha,"Pnv With Ca,no.60/Iron/Fa/Dha",
1264,Nulev,Hyoscyamine Sulfate,
1265,Cequr Simplicity Inserter,"Diabetic Supplies,miscell",
1266,Potassium Chloride,Potassium Chloride,
1267,Spiriva,Tiotropium Bromide,
1268,Warfarin Sodium,Warfarin Sodium,
1269,Carvedilol,Carvedilol,
1270,Venlafaxine Hcl Er,Venlafaxine Hcl,
1271,Advair Diskus,Fluticasone/Salmeterol,
1272,Bd Ultra-Fine Pen Needle,"Needles, Insulin Disposable",
1273,Diovan,Valsartan,
1274,Ibuprofen,Ibuprofen,
1275,Indomethacin,Indomethacin,
1276,Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,
1277,Metronidazole,Metronidazole,
1278,Pravastatin Sodium,Pravastatin Sodium,
1279,Ropinirole Hcl,Ropinirole Hcl,
1280,Tramadol Hcl,Tramadol Hcl,true
1281,Mupirocin,Mupirocin,
1282,Penicillin V Potassium,Penicillin V Potassium,
1283,Benztropine Mesylate,Benztropine Mesylate,
1284,Ranexa,Ranolazine,
1285,Hydromorphone Hcl,Hydromorphone Hcl,true
1286,Morphine Sulfate Er,Morphine Sulfate,true
1287,Zetia,Ezetimibe,
1288,Lovastatin,Lovastatin,
1289,Carbidopa-Levodopa,Carbidopa/Levodopa,
1290,Famotidine,Famotidine,
1291,Fenofibrate,"Fenofibrate,micronized",
1292,Combivent Respimat,Ipratropium/Albuterol Sulfate,
1293,Janumet,Sitagliptin Phos/Metformin Hcl,
1294,Novolog Flexpen,Insulin Aspart,
1295,Diltiazem 24hr Cd,Diltiazem Hcl,
1296,Enoxaparin Sodium,Enoxaparin Sodium,
1297,Sucralfate,Sucralfate,
1298,Nitrofurantoin Mono-Macro,Nitrofurantoin Monohyd/M-Cryst,
1299,Alphagan P,Brimonidine Tartrate,
1300,Avelox,Moxifloxacin Hcl,
1301,Ipratropium-Albuterol,Ipratropium/Albuterol Sulfate,
1302,Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,
1303,Santyl,Collagenase Clostridium Hist.,
1304,Fosinopril Sodium,Fosinopril Sodium,
1305,Avapro,Irbesartan,
1306,Synthroid,Levothyroxine Sodium,
1307,Tenormin,Atenolol,
1308,Triamterene-Hydrochlorothiazid,Triamterene/Hydrochlorothiazid,
1309,Eplerenone,Eplerenone,
1310,Potassium Citrate,Potassium Citrate,
1311,Trospium Chloride,Trospium Chloride,
1312,Anastrozole,Anastrozole,
1313,Revlimid,Lenalidomide,
1314,Leucovorin Calcium,Leucovorin Calcium,
1315,Serevent Diskus,Salmeterol Xinafoate,
1316,Effient,Prasugrel Hcl,
1317,Azopt,Brinzolamide,
1318,Zylet,Tobramycin/Lotepred Etab,
1319,Asmanex,Mometasone Furoate,
1320,Calcitonin-Salmon,"Calcitonin,salmon,synthetic",
1321,Viibryd,Vilazodone Hydrochloride,
1322,Hyoscyamine Sulfate,Hyoscyamine Sulfate,
1323,Xifaxan,Rifaximin,
1324,Budesonide Ec,Budesonide,
1325,Guanfacine Hcl,Guanfacine Hcl,
1326,Janumet Xr,Sitagliptin Phos/Metformin Hcl,
1327,Fluvoxamine Maleate,Fluvoxamine Maleate,
1328,Lithobid,Lithium Carbonate,
1329,Oxazepam,Oxazepam,
1330,Trandolapril,Trandolapril,
1331,Neomycin-Polymyxin-Hydrocort,Neomycin/Polymyxin B Sulf/Hc,
1332,Prenatal Plus,"Pnv With Ca,no.72/Iron/Fa",
1333,Invega,Paliperidone,
1334,Pacerone,Amiodarone Hcl,
1335,Gleevec,Imatinib Mesylate,
1336,Coreg,Carvedilol,
1337,Bisoprolol Fumarate,Bisoprolol Fumarate,
1338,Lidocaine Hcl,Lidocaine Hcl,
1339,Norethindrone Acetate,Norethindrone Acetate,
1340,Zonisamide,Zonisamide,
1341,Lastacaft,Alcaftadine,
1342,Eliquis,Apixaban,
1343,Sprycel,Dasatinib,
1344,Cefpodoxime Proxetil,Cefpodoxime Proxetil,
1345,Donepezil Hcl Odt,Donepezil Hcl,
1346,Sotalol Af,Sotalol Hcl,
1347,Levobunolol Hcl,Levobunolol Hcl,
1348,Flecainide Acetate,Flecainide Acetate,
1349,Ocella,Ethinyl Estradiol/Drospirenone,
1350,Nucynta,Tapentadol Hcl,true
1351,Nucynta Er,Tapentadol Hcl,true
1352,Betamethasone Dipropionate,Betamethasone Dipropionate,
1353,Suprep,"Sodium,potassium,&mag Sulfates",
1354,Haloperidol Decanoate,Haloperidol Decanoate,
1355,Orsythia,Levonorgestrel-Eth Estradiol,
1356,Pegasys Proclick,Peginterferon Alfa-2a,
1357,Ribasphere,Ribavirin,
1358,Acebutolol Hcl,Acebutolol Hcl,
1359,Modafinil,Modafinil,
1360,Elmiron,Pentosan Polysulfate Sodium,
1361,Testosterone Enanthate,Testosterone Enanthate,
1362,Oxandrolone,Oxandrolone,
1363,Salsalate,Salsalate,
1364,Seroquel,Quetiapine Fumarate,
1365,Octreotide Acetate,Octreotide Acetate,
1366,Zegerid,Omeprazole/Sodium Bicarbonate,
1367,Vicodin Es,Hydrocodone/Acetaminophen,true
1368,Probenecid-Colchicine,Colchicine/Probenecid,
1369,Atacand,Candesartan Cilexetil,
1370,Aricept,Donepezil Hcl,
1371,Sure Comfort,"Syringe & Needle,insulin,1 Ml",
1372,Trimethobenzamide Hcl,Trimethobenzamide Hcl,
1373,Linzess,Linaclotide,
1374,Microgestin,Norethindrone A-E Estradiol,
1375,Lysodren,Mitotane,
1376,Orencia,Abatacept/Maltose,
1377,Permethrin,Permethrin,
1378,Vascepa,Icosapent Ethyl,
1379,Fosamax,Alendronate Sodium,
1380,Novotwist,"Needles, Insulin Disposable",
1381,Medrol,Methylprednisolone,
1382,Butalbital Compound-Codeine,Codeine/Butalbital/Asa/Caffein,true
1383,Progesterone,"Progesterone,micronized",
1384,Tudorza Pressair,Aclidinium Bromide,
1385,Fexofenadine-Pse Er,Fexofenadine/Pseudoephedrine,
1386,Halobetasol Propionate,Halobetasol Propionate,
1387,Isradipine,Isradipine,
1388,Imitrex,Sumatriptan Succinate,
1389,Plaquenil,Hydroxychloroquine Sulfate,
1390,Emsam,Selegiline,
1391,In Control Pen Needle,"Needles, Insulin Disposable",
1392,Olanzapine-Fluoxetine Hcl,Olanzapine/Fluoxetine Hcl,
1393,Faslodex,Fulvestrant,
1394,Trezix,Dhcodeine Bt/Acetaminophn/Caff,true
1395,Adalat Cc,Nifedipine,
1396,Antara,"Fenofibrate,micronized",
1397,Carnitor,Levocarnitine,
1398,Edarbyclor,Azilsartan Med/Chlorthalidone,
1399,Ethambutol Hcl,Ethambutol Hcl,
1400,Urea,Urea,
1401,Metrogel,Metronidazole,
1402,Cubicin,Daptomycin,
1403,Calcipotriene,Calcipotriene,
1404,Easy Touch,"Needles, Insulin Disposable",
1405,Diphenhydramine Hcl,Diphenhydramine Hcl,
1406,Fortamet,Metformin Hcl,
1407,Amnesteem,Isotretinoin,
1408,X-Viate,Urea,
1409,Aczone,Dapsone,
1410,Doribax,Doripenem,
1411,Pedi-Dri,Nystatin,
1412,Fluocinonide Emollient,Fluocinonide/Emollient Base,
1413,Gatifloxacin,Gatifloxacin,
1414,Matzim La,Diltiazem Hcl,
1415,Roxicodone,Oxycodone Hcl,true
1416,Golytely,"Peg 3350/Na Sulf,bicarb,cl/Kcl",
1417,Arixtra,Fondaparinux Sodium,
1418,Norditropin Flexpro,Somatropin,
1419,Catapres-Tts 2,Clonidine,
1420,Methscopolamine Bromide,Methscopolamine Bromide,
1421,Promethazine-Dm,D-Methorphan Hb/Prometh Hcl,
1422,Aromasin,Exemestane,
1423,Quinidine Gluconate,Quinidine Gluconate,
1424,Zarontin,Ethosuximide,
1425,Maxzide-25 Mg,Triamterene/Hydrochlorothiazid,
1426,Ditropan Xl,Oxybutynin Chloride,
1427,Aviane,Levonorgestrel-Eth Estradiol,
1428,Remeron,Mirtazapine,
1429,Menest,"Estrogens,esterified",
1430,Fragmin,"Dalteparin Sodium,porcine",
1431,Botox,Onabotulinumtoxina,
1432,Clarinex,Desloratadine,
1433,Carac,Fluorouracil,
1434,Monoject Insulin Safety Syrng,"Syringe W-Ndl, Disp., Insulin",
1435,Zantac,Ranitidine Hcl,
1436,Isoniazid,Isoniazid,
1437,Symbyax,Olanzapine/Fluoxetine Hcl,
1438,Stannous Fluoride,Stannous Fluoride,
1439,Myzilra,Levonorgestrel-Eth Estradiol,
1440,Sumavel Dosepro,Sumatriptan Succinate,
1441,Nasacort Aq,Triamcinolone Acetonide,
1442,Xenazine,Tetrabenazine,
1443,Aralast Np,Alpha-1-Proteinase Inhibitor,
1444,Trueplus Insulin Syringe,"Syringe & Needle,insulin,1 Ml",
1445,Colocort,Hydrocortisone,
1446,Erythromycin-Benzoyl Peroxide,Erythromycin/Benzoyl Peroxide,
1447,Femara,Letrozole,
1448,Blephamide,Sulfacetm Na/Prednisol Ac,
1449,Omnipred,Prednisolone Acetate,
1450,Tenivac,Tetanus And Diphtheria Tox/Pf,
1451,Arava,Leflunomide,
1452,Prevident 5000,Sodium Fluoride,
1453,Stalevo 50,Carbidopa/Levodopa/Entacapone,
1454,Denta 5000 Plus,Sodium Fluoride,
1455,Pravachol,Pravastatin Sodium,
1456,Chloroquine Phosphate,Chloroquine Phosphate,
1457,Dyrenium,Triamterene,
1458,Jolivette,Norethindrone,
1459,Solu-Medrol,Methylprednisolone Sod Succ/Pf,
1460,Ferrex 28,Iron Ag&fum/C/Fa/Mv Cmb11/Ca-T,
1461,Sure-Ject Insulin Syringe,"Syring W-Ndl,disp,insul,0.5ml",
1462,Cipro Hc,Ciprofloxacin/Hydrocortisone,
1463,Minivelle,Estradiol,
1464,Lorzone,Chlorzoxazone,
1465,Samsca,Tolvaptan,
1466,Clemastine Fumarate,Clemastine Fumarate,
1467,Mephyton,Phytonadione,
1468,Targretin,Bexarotene,
1469,Zolinza,Vorinostat,
1470,Procardia Xl,Nifedipine,
1471,Easy-Touch Insulin Syringe,"Syringe & Needle,insulin,1 Ml",
1472,Necon,Norethindrone-Mestranol,
1473,Tygacil,Tigecycline,
1474,Neomycin-Polymyxin B,Neomy Sulf/Polymyxin B Sulfate,
1475,Proscar,Finasteride,
1476,Adrucil,Fluorouracil,
1477,Aimsco Ultra Thin Ii,"Needles, Insulin Disposable",
1478,Femring,Estradiol Acetate,
1479,Vanishpoint,"Syring W-Ndl,disp,insul,0.5ml",
1480,Kuvan,Sapropterin Dihydrochloride,
1481,Noxafil,Posaconazole,
1482,Anafranil,Clomipramine Hcl,
1483,Zestoretic,Lisinopril/Hydrochlorothiazide,
1484,Clorpres,Clonidine Hcl/Chlorthalidone,
1485,Merrem,Meropenem,
1486,Ridaura,Auranofin,
1487,Zometa,Zoledronic Acid,
1488,Glucopro,"Syring W-Ndl,disp,insul,0.5ml",
1489,Parafon Forte Dsc,Chlorzoxazone,
1490,Depo-Provera,Medroxyprogesterone Acetate,
1491,Soma,Carisoprodol,
1492,Easy Touch Alcohol Prep Pads,Alcohol Antiseptic Pads,
1493,Skelaxin,Metaxalone,
1494,Bicillin C-R,Pen G Benz/Pen G Procaine,
1495,Diethylpropion Hcl,Diethylpropion Hcl,
1496,Leukine,Sargramostim,
1497,Acetic Acid-Aluminum,Acetic Acid/Aluminum Acetate,
1498,Diastat Acudial,Diazepam,
1499,Ocuflox,Ofloxacin,
1500,Ultram Er,Tramadol Hcl,true
1501,Cefepime,"Cefepime Hcl/Dextrose, Iso-Osm",
1502,Zmax,Azithromycin,
1503,Ulticare,"Syring W-Ndl,disp,insul,0.3ml",
1504,Hecoria,Tacrolimus,
1505,Zoledronic Acid,Zoledronic Acid,
1506,Betapace Af,Sotalol Hcl,
1507,Easy Touch,"Syring W-Ndl,disp,insul,0.5 Ml",
1508,Velivet,Desogestrel-Ethinyl Estradiol,
1509,Levetiracetam Er,Levetiracetam,
1510,Trueplus Insulin Syringe,"Syring W-Ndl,disp,insul,0.3 Ml",
1511,Olysio,Simeprevir Sodium,
1512,Monoject Insulin Syringe,"Syring W-Ndl,disp,insul,0.5 Ml",
1513,Dificid,Fidaxomicin,
1514,Timoptic-Xe,Timolol Maleate,
1515,Jinteli,Norethindrone Ac-Eth Estradiol,
1516,Ultra Comfort,"Syring W-Ndl,disp,insul,0.5 Ml",
1517,Adefovir Dipivoxil,Adefovir Dipivoxil,
1518,Pregnyl,"Chorionic Gonadotropin, Human",
1519,Ultracet,Tramadol Hcl/Acetaminophen,true
1520,Oseni,Alogliptin Benz/Pioglitazone,
1521,Renacidin,Citric Acid/G-Lactone/Mag Carb,
1522,Colistimethate,Colistin (Colistimethate Na),
1523,Nevirapine Er,Nevirapine,
1524,Dutoprol,Metoprolol Succinate/Hctz,
1525,Fareston,Toremifene Citrate,
1526,Fexmid,Cyclobenzaprine Hcl,
1527,Tapazole,Methimazole,
1528,Paroex,Chlorhexidine Gluconate,
1529,Actimmune,"Interferon Gamma-1b,recomb.",
1530,Berinert,C1 Esterase Inhibitor,
1531,Abstral,Fentanyl Citrate,true
1532,Cayston,Aztreonam Lysine,
1533,Fe C Plus,"Iron,carbonyl/Vit C/Vit B12/Fa",
1534,Loestrin Fe,Norethindrone-E.Estradiol-Iron,
1535,Sensorcaine,Bupivacaine Hcl,
1536,Camrese Lo,L-Norgest-Eth Estr/Ethin Estra,
1537,Xartemis Xr,Oxycodone Hcl/Acetaminophen,true
1538,Chlorothiazide Sodium,Chlorothiazide Sodium,
1539,Falmina,Levonorgestrel-Ethin Estradiol,
1540,Insulin Syringe,"Syringe W-Ndl, Disp., Insulin",
1541,Demerol,Meperidine Hcl,true
1542,Sirolimus,Sirolimus,
1543,Olopatadine Hcl,Olopatadine Hcl,
1544,Baciim,Bacitracin,
1545,Acular,Ketorolac Tromethamine,
1546,Sodium Acetate,Sodium Acetate,
1547,Jencycla,Norethindrone,
1548,Cinryze,C1 Esterase Inhibitor,
1549,Lite Touch,"Syring W-Ndl,disp,insul,0.3 Ml",
1550,Mini Ultra-Thin Ii,"Needles, Insulin Disposable",
1551,Insulin Syringe,"Syringe And Needle,insulin,1ml",
1552,Decitabine,Decitabine,
1553,Gammagard Liquid,Immun Glob G (Igg)/Gly/Iga 50+,
1554,Easy Touch Pen Needle,"Pen Needle, Diabetic",
1555,Pen Needle,"Pen Needle, Diabetic",
1556,Peg 3350-Electrolyte,Sodium Chloride/Nahco3/Kcl/Peg,
1557,Trulicity,Dulaglutide,
1558,Unifine Pentips Plus,"Pen Needle, Diabetic",
1559,Easy Touch Insulin Safety,"Syringe,needle,insuln,sf 0.5ml",
1560,Humira Pen Psoriasis,Adalimumab,
1561,Amoxicillin-Clavulanate Pot Er,Amoxicillin/Potassium Clav,
1562,Dilatrate-Sr,Isosorbide Dinitrate,
1563,Rexulti,Brexpiprazole,
1564,Norethindron-Ethinyl Estradiol,Norethindrone Ac-Eth Estradiol,
1565,Evotaz,Atazanavir Sulfate/Cobicistat,
1566,Trueplus Insulin Syringe,"Syringe And Needle,insulin,1ml",
1567,Benzaclin,Clindamycin Phos/Benzoyl Perox,
1568,Neomycin-Polymyxin B,Neomycin Su/Polymyx B Sulf,
1569,Priftin,Rifapentine,
1570,Hyqvia,"Igg/Hyaluronidase,recombinant",
1571,Relion Pen Needles,"Pen Needle, Diabetic",
1572,Savaysa,Edoxaban Tosylate,
1573,Desogestr-Eth Estrad Eth Estra,Desog-E.Estradiol/E.Estradiol,
1574,Reglan,Metoclopramide Hcl,
1575,Dianeal With 1.5% Dextrose,Perit. Dialysis#6 & Dex 1.5 %,
1576,Cleocin T,Clindamycin Phosphate,
1577,Actigall,Ursodiol,
1578,Depakene,Valproic Acid (As Sodium Salt),
1579,Terumo Insulin Syringe,"Syringe And Needle,insulin,1ml",
1580,Sandostatin Lar,"Octreotide Acetate,mi-Spheres",
1581,Duavee,"Estrogens,conj/Bazedoxifene",
1582,K-Phos Neutral,Phosphorus #1,
1583,Easy Touch Insulin Syringe,"Syring W-Ndl,disp,insul,0.5 Ml",
1584,Salagen,Pilocarpine Hcl,
1585,Novolog Mix 70-30 Flexpen,Insulin Aspart Prot/Insuln Asp,
1586,Trintellix,Vortioxetine Hydrobromide,
1587,Complera,Emtricita/Rilpivirine/Tenof Df,
1588,Sps,Sodium Polystyrene Sulfon/Sorb,
1589,Glatopa,Glatiramer Acetate,
1590,Bidil,Isosorbibe Dinit/Hydralazine,
1591,Ultra-Thin Ii,"Syringe And Needle,insulin,1ml",
1592,Kionex,Sodium Polystyrene Sulfon/Sorb,
1593,Descovy,Emtricitabine/Tenofov Alafenam,
1594,Norethin-Eth Estra-Ferrous Fum,Norethindrone-E.Estradiol-Iron,
1595,Varubi,Rolapitant Hcl,
1596,Dihydrocodein-Acetaminoph-Caff,Acetaminophen/Caff/Dihydrocod,
1597,Naftifine Hcl,Naftifine Hcl,
1598,Darzalex,Daratumumab,
1599,Oxiconazole Nitrate,Oxiconazole Nitrate,
1600,Easy Touch,"Syring-Needl,disp,insul,0.3 Ml",
1601,Ultra Comfort,"Syrge-Ndl,ins 0.3 Ml Half Mark",
1602,Flebogamma Dif,Imm Glob G (Igg)/Sorb/Iga 0-50,
1603,Meropenem-0.9% Nacl,Meropenem-0.9% Sodium Chloride,
1604,Neosporin G.U. Irrigant,Neomycin Sulf/Polymyxin B Sulf,
1605,Onexton,Clindamycin Phos/Benzoyl Perox,
1606,Methoxsalen,Methoxsalen,
1607,Jevantique Lo,Norethindrone Ac-Eth Estradiol,
1608,Sorilux,Calcipotriene,
1609,Diprolene Af,Betamethasone/Propylene Glyc,
1610,Safetyglide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
1611,Enbrace Hr,Prenatal #92/Iron/Fa #8/Ps-Dha,
1612,Cefepime-Dextrose,Cefepime Hcl In Dextrose 5 %,
1613,Cometriq,Cabozantinib S-Malate,
1614,Leuprolide Acetate,Leuprolide Acetate,
1615,Ezetimibe,Ezetimibe,
1616,Prevident,Fluoride (Sodium),
1617,Trueplus Pen Needle,"Pen Needle, Diabetic",
1618,Denta 5000 Plus,Fluoride (Sodium),
1619,Basaglar Kwikpen U-100,"Insulin Glargine,hum.Rec.Anlog",
1620,Austedo,Deutetrabenazine,
1621,K-Phos Neutral,"Sod Phos Di, Mono/K Phos Mono",
1622,Emflaza,Deflazacort,
1623,Invokamet Xr,Canagliflozin/Metformin Hcl,
1624,Pro Comfort Alcohol Pads,Alcohol Antiseptic Pads,
1625,Cefaclor Er,Cefaclor,
1626,Repatha Pushtronex,Evolocumab,
1627,Rena-Vite Rx,Vit B Comp No.3/Folic/C/Biotin,
1628,Soliqua 100-33,Insulin Glargine/Lixisenatide,
1629,Lactated Ringers,"Ringer's Solution,lactated",
1630,Epaned,Enalapril Maleate,
1631,Insulin Syringe U-500,"Syringe,insul U-500,ndl,0.5ml",
1632,Zurampic,Lesinurad,
1633,Lorcet Hd,Hydrocodone/Acetaminophen,true
1634,Mefenamic Acid,Mefenamic Acid,
1635,Ciprofloxacin,Ciprofloxacin Lactate,
1636,Jentadueto Xr,Linagliptin/Metformin Hcl,
1637,Coly-Mycin M Parenteral,Colistin (Colistimethate Na),
1638,Ziac,Bisoprolol/Hydrochlorothiazide,
1639,Vibativ,Telavancin Hcl,
1640,Spritam,Levetiracetam,
1641,Sildenafil Citrate,Sildenafil Citrate,
1642,Plenamine,Parenteral Amino Acid 15% No.1,
1643,Amicar,Aminocaproic Acid,
1644,Nilutamide,Nilutamide,
1645,Ergotamine-Caffeine,Ergotamine Tartrate/Caffeine,
1646,Advair Diskus,Fluticasone Propion/Salmeterol,
1647,Trelegy Ellipta,Fluticasone/Umeclidin/Vilanter,
1648,Symtuza,Darunavir/Cob/Emtri/Tenof Alaf,
1649,Tenofovir Disoproxil Fumarate,Tenofovir Disoproxil Fumarate,
1650,Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
1651,Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",
1652,Metformin Er Osmotic,Metformin Hcl,
1653,Levo-T,Levothyroxine Sodium,
1654,Eletriptan Hbr,Eletriptan Hydrobromide,
1655,Vyzulta,Latanoprostene Bunod,
1656,V-Go 20,"Sub-Q Insulin Device, 20 Unit",
1657,Osphena,Ospemifene,
1658,Methylphenidate Er (La),Methylphenidate Hcl,
1659,Dysport,Abobotulinumtoxina,
1660,Kisqali Femara Co-Pack,Ribociclib Succinate/Letrozole,
1661,Zomig Zmt,Zolmitriptan,
1662,Natesto,Testosterone,
1663,Utibron Neohaler,Indacaterol/Glycopyrrolate,
1664,Sotylize,Sotalol Hcl,
1665,Humira Pen Psor-Uveits-Adol Hs,Adalimumab,
1666,Vanos,Fluocinonide,
1667,Easy Touch Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",
1668,Nizoral,Ketoconazole,
1669,Esomeprazole Sodium,Esomeprazole Sodium,
1670,Pnv 29-1,"Prenatal Vit,calc76/Iron/Folic",
1671,Mydayis,Dextroamphetamine/Amphetamine,
1672,Micort-Hc,Hydrocortisone Acetate,
1673,Cinacalcet Hcl,Cinacalcet Hcl,
1674,Lotemax Sm,Loteprednol Etabonate,
1675,Budesonide Er,Budesonide,
1676,Acthar,Corticotropin,
1677,Proleukin,Aldesleukin,
1678,Oxervate,Cenegermin-Bkbj,
1679,Altavera,Levonorgestrel/Ethin.Estradiol,
1680,Kapspargo Sprinkle,Metoprolol Succinate,
1681,Steglatro,Ertugliflozin Pidolate,
1682,Gauze Pads,Gauze Bandage,
1683,Prednisolone Sodium Phos Odt,Prednisolone Sodium Phosphate,
1684,Nivestym,Filgrastim-Aafi,
1685,Portia,Levonorgestrel/Ethin.Estradiol,
1686,Pifeltro,Doravirine,
1687,Tresiba,Insulin Degludec,
1688,Quillichew Er,Methylphenidate Hcl,
1689,Levetiracetam-Nacl,Levetiracetam In Nacl (Iso-Os),
1690,Doptelet,Avatrombopag Maleate,
1691,Nocdurna,Desmopressin Acetate,
1692,Vyndaqel,Tafamidis Meglumine,
1693,Clindesse,Clindamycin Phosphate,
1694,Rinvoq,Upadacitinib,
1695,Tiglutik,Riluzole,
1696,Xiaflex,Collagenase Clostridium Hist.,
1697,Subvenite,Lamotrigine,
1698,Myobloc,Rimabotulinumtoxinb,
1699,Triamterene,Triamterene,
1700,Mesalamine Er,Mesalamine,
1701,Budesonide-Formoterol Fumarate,Budesonide/Formoterol Fumarate,
1702,Estradiol (Twice Weekly),Estradiol,
1703,Triphrocaps,B Complex W-C No.20/Folic Acid,
1704,Estradiol (Once Weekly),Estradiol,
1705,Plenamine,Parenteral Amino Acid 15% No.6,
1706,Advocate Pen Needle,"Pen Needle, Diabetic",
1707,Qbrexza,Glycopyrronium Tosylate,
1708,Litetouch Insulin Syringe,"Syring-Needl,disp,insul,0.3 Ml",
1709,Skyrizi (2 Syringes) Kit,Risankizumab-Rzaa,
1710,Esgic,Butalb/Acetaminophen/Caffeine,
1711,Mozobil,Plerixafor,
1712,Novolin N Flexpen,Insulin Nph Human Isophane,
1713,Toremifene Citrate,Toremifene Citrate,
1714,Beovu,Brolucizumab-Dbll,
1715,Mayzent,Siponimod,
1716,Vyndamax,Tafamidis,
1717,Zerviate,Cetirizine Hcl,
1718,Inrebic,Fedratinib Dihydrochloride,
1719,Aveed,Testosterone Undecanoate,
1720,Aranelle,Norethindrone-Ethin. Estradiol,
1721,Insulin Aspart Prot Mix 70-30,Insulin Aspart Prot/Insuln Asp,
1722,Dupixent Pen,Dupilumab,
1723,Tolvaptan,Tolvaptan,
1724,Fosfomycin Tromethamine,Fosfomycin Tromethamine,
1725,Kesimpta Pen,Ofatumumab,
1726,Tavaborole,Tavaborole,
1727,Vumerity,Diroximel Fumarate,
1728,Diazoxide,Diazoxide,
1729,Reditrex,Methotrexate/Pf,
1730,Ferriprox (2 Times A Day),Deferiprone,
1731,Vectibix,Panitumumab,
1732,Insulin Lispro Junior Kwikpen,Insulin Lispro,
1733,Alunbrig,Brigatinib,
1734,Kerendia,Finerenone,
1735,Rozlytrek,Entrectinib,
1736,Recombivax Hb,Hepatitis B Virus Vaccine/Pf,
1737,Arcalyst,Rilonacept,
1738,Durysta,Bimatoprost,
1739,Secuado,Asenapine,
1740,Omnipod Dash Pods (Gen 4),"Insulin Pump Cart,cont Inf,bt",
1741,Brimonidine Tartrate-Timolol,Brimonidine Tartrate/Timolol,
1742,Spiriva Handihaler,Tiotropium Bromide,
1743,Lagevrio (Eua),Molnupiravir,
1744,Dexlansoprazole Dr,Dexlansoprazole,
1745,True Comfort Pro Alcohol Pads,Alcohol Antiseptic Pads,
1746,Lybalvi,Olanzapine/Samidorphan Malate,
1747,Lacosamide,Lacosamide,
1748,Tezspire,Tezepelumab-Ekko,
1749,Cyred Eq,Desogestrel-Ethinyl Estradiol,
1750,Jatenzo,Testosterone Undecanoate,
1751,Comfort Touch Pen Needle,"Pen Needle, Diabetic",
1752,Leqvio,Inclisiran Sodium,
1753,Pemetrexed Disodium,Pemetrexed Disodium,
1754,Vincristine Sulfate,Vincristine Sulfate,
1755,Efavirenz-Lamivu-Tenofov Disop,Efavirenz/Lamivu/Tenofov Disop,
1756,Neomycin-Bacitracin-Polymyxin,Neomycin/Bacitracin/Polymyxinb,
1757,Bafiertam,Monomethyl Fumarate,
1758,True Comfort Pro Pen Needle,"Pen Needle, Diabetic",
1759,Vitrakvi,Larotrectinib Sulfate,
1760,Tussicaps,Hydrocodone/Chlorphen Polis,
1761,Nitromist,Nitroglycerin,
1762,Rocephin,Ceftriaxone Sodium,
1763,Lite Touch,"Syring W-Ndl,disp,insul,0.3ml",
1764,Ganciclovir Sodium,Ganciclovir Sodium,
1765,Prenexa,Pnv66/Iron Fumarate/Fa/Dss/Dha,
1766,Seromycin,Cycloserine,
1767,Folic Acid-Vit B6-Vit B12,Cyanocobalamin/Fa/Pyridoxine,
1768,Oseni,Alogliptin Benz/Pioglitzone,
1769,Morgidox,Doxycycline Hyclate,
1770,Tev-Tropin,Somatropin,
1771,Cefotetan,Cefotetan Disodium,
1772,Avandamet,Rosiglitazone/Metformin Hcl,
1773,Bd Insulin Syringe,"Syringe & Needle,insulin,1 Ml",
1774,Sylatron,Peginterferon Alfa-2b,
